,s1,s2
0,"Cereals, barley",barley
1,Other fresh or chilled potatoes,potatoes
2,"Fruit, edible; cherries, fresh",cherries
3,"Bran, sharps and other residues, of maize",maize bran
4,"Cereals, millet",millets
5,"Oil seeds; sesamum seeds, whether or not broken",sesame seed
6,Cigarettes containing tobacco,cigarettes
7,"Tomato, fresh or chilled",tomatoes
8,"Oil seeds; sunflower seeds, whether or not broken",sunflower seed
9,"Fruit, edible; figs, fresh or dried",figs
10,"Bran, sharps and other residues; of wheat, whether or not in the form of pellets, derived from the sifting, milling or other workings thereof",wheat bran
11,"Fruit, edible; bananas, (including plantains), fresh or dried",plantains
12,"Dairy produce; cheese, processed (not grated or powdered)",processed cheese
13,Fresh or chilled asparagus,asparagus
14,Fresh/dried avocados,avocados
15,"Pig fat; lard, other than that of heading 0209 and 1503",lard
16,"Oil seeds; poppy seeds, whether or not broken",poppy seed
17,"Grape juice, unfermented",grape juice
18,"Nuts, edible; chestnuts (castanea spp.), fresh or dried, whether or not shelled or peeled",chestnuts
19,Sesame oil,sesame oil
20,"Fruit, edible; strawberries, fresh",strawberries
21,"Vegetables, leguminous; chickpeas (garbanzos), shelled, whether or not skinned or split, dried",chickpeas
22,Wheat flour,wheat flour
23,Fresh watermelons,watermelons
24,"Fruit, edible; sour cherries (Prunus cerasus), fresh",sour cherries
25,"Oil seeds; linseed, whether or not broken",linseed
26,"Vegetables, leguminous; lentils, shelled, whether or not skinned or split, dried",lentils
27,"Fruit, edible; quinces, fresh",quinces
28,"Vegetables, alliaceous; garlic, fresh or chilled",garlic
29,"Butter, fat and oil, from cocoa",cocoa beans
30,"Spices, ginger",ginger
31,"Cocoa (whole or broken), raw or roasted",broken rice
32,"Coffee; substitutes containing coffee, in any proportion",coffee substitutes
33,"Vegetables; spinach, New Zealand spinach and orache spinach (garden spinach), fresh or chilled",spinach
34,"Vegetables; olives, fresh or chilled",olives
35,"Other soybeans, even crushed",soybeans
36,"Fruit, edible; apricots, fresh",apricots
37,"Cereals, rye",rye
38,"Cereals, grain sorghum",sorghum
39,"Oil seeds; cotton seeds, whether or not broken",cottonseed
40,Copra,copra
41,Fresh/chilled/frozen/dried sweet potatoes,sweetpotatoes
42,Fresh/chilled aubergines (egg-plants),eggplants
43,"Bananas-of-the-earth, fresh or dried",bananas
44,"Cereals, oats",oats
45,"Oil seeds; mustard seeds, whether or not broken",mustard seed
46,"Pears, fresh",pears
47,"Cereals, buckwheat",buckwheat
48,"Meat of goats, fresh, chilled or frozen",goat meat
49,"Fruit, edible; dates, fresh or dried",dates
50,"Nuts, edible; kola nuts (Cola spp.), fresh or dried, whether or not shelled or peeled",kola nuts
51,"Goats, live",goats
52,"Dairy produce; buttermilk, curdled milk or cream, kephir, fermented or acidified milk or cream, whether or not concentrated or containing added sweetening, flavouring, fruit or cocoa (excluding yoghurt)",buttermilk
53,Broken rice,rice bran
54,Fresh/dried pineapples,pineapples
55,"Nuts, edible; pistachios, fresh or dried, whether or not shelled or peeled",pistachios
56,"Nuts, edible; coconuts, fresh or dried, whether or not shelled or peeled",coconuts
57,"Sheep, live",sheep
58,"Fruit, edible; cranberries, bilberries and other fruits of the genus vaccinium, fresh",cranberries
59,"Spices; cloves (whole fruit, cloves and stems)",cloves
60,"Jute and other textile bast fibres; processed but not spun, tow and waste of these fibres, including yarn waste and garnetted stock (excluding flax, hemp (cannabis sativa L.), and ramie)",jute
61,"Cereals, fonio (Digitaria spp.)",fonio (digitaria)
62,"Vegetable roots and tubers; taro (Colocasia spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",taro
63,"Fruit, edible; raspberries, blackberries, mulberries and loganberries, fresh",raspberries
64,"Sugar cane; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",sugarcane
65,"Vegetable roots and tubers; yams (Dioscorea spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",yams
66,"Oil seeds; safflower seeds, whether or not broken",safflower seed
67,"Oleaginous fruits; palm nuts and kernels, whether or not broken",palm kernels
68,"Molluscs; snails (other than sea snails), live, fresh, chilled, frozen, dried, salted or in brine (whether in shell or not)",snails
69,Yoghurt,yoghurt
70,"Cereals, quinoa (Chenopodium quinoa)",quinua
71,"Vegetable roots and tubers; yautia (Xanthosoma spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",yautia
72,"Oleaginous fruits, shea nuts (karite nuts)",shea nuts
73,"Disc harrows, used agricultural, etc.f/soil preparation",tur
74,Mate,yerba mate
75,Maize (corn) starch,maize starch
76,"Fish; smoked (whether or not cooked before or during the smoking process), n.e.s. in item no. 0305.4 (including fillets)",smoked fish
77,Fresh/dried grapefruit,grapefruits
78,"Dairy produce, butter and other fats and oils derived from milk",butter
79,Oleic acid (industrial monocarboxylic fatty acids),oleic acid
